event_id,user_id,product_id,event_type,event_timestamp
1,332,10,view,2023-08-22 08:00:00
2,130,7,view,2023-08-24 05:00:00
3,394,16,view,2024-01-16 23:00:00
4,324,40,view,2023-11-20 07:00:00
5,91,44,view,2023-03-20 07:00:00
6,699,2,cart,2024-01-24 10:00:00
7,459,36,view,2023-03-19 09:00:00
8,45,8,view,2023-03-16 16:00:00
9,676,37,view,2023-01-28 09:00:00
10,452,21,purchase,2023-05-26 23:00:00
11,345,31,view,2023-07-29 22:00:00
12,969,29,view,2023-01-16 11:00:00
13,668,12,cart,2023-10-08 01:00:00
14,100,16,view,2023-05-30 14:00:00
15,291,47,cart,2023-12-22 14:00:00
16,503,5,view,2023-07-28 09:00:00
17,222,6,cart,2023-12-29 19:00:00
18,879,13,view,2023-10-17 04:00:00
19,148,12,cart,2023-06-14 12:00:00
20,980,45,view,2023-10-30 14:00:00
21,7,29,cart,2023-02-11 16:00:00
22,296,7,view,2023-08-15 04:00:00
23,171,12,view,2023-05-21 06:00:00
24,306,9,view,2023-03-04 05:00:00
25,307,48,view,2023-08-22 06:00:00
26,453,34,view,2023-03-17 02:00:00
27,313,7,cart,2024-02-03 20:00:00
28,694,22,cart,2023-08-03 18:00:00
29,201,33,view,2023-06-11 15:00:00
30,136,21,view,2023-12-26 19:00:00
31,680,25,view,2023-09-29 17:00:00
32,455,16,purchase,2023-09-21 01:00:00
33,670,7,view,2023-09-22 02:00:00
34,546,7,view,2023-03-31 07:00:00
35,59,28,view,2023-03-07 03:00:00
36,589,41,view,2023-03-22 08:00:00
37,736,8,view,2023-10-13 01:00:00
38,221,23,view,2023-10-19 17:00:00
39,195,17,view,2023-07-13 07:00:00
40,667,5,view,2023-10-29 21:00:00
41,778,27,view,2023-12-08 20:00:00
42,277,3,cart,2023-07-15 05:00:00
43,295,3,view,2023-07-17 07:00:00
44,644,15,view,2023-06-27 10:00:00
45,619,47,purchase,2024-02-21 19:00:00
46,294,4,view,2023-12-08 17:00:00
47,877,21,view,2023-06-07 08:00:00
48,652,2,view,2023-09-03 01:00:00
49,815,37,view,2023-03-14 22:00:00
50,134,9,view,2023-08-14 14:00:00
51,991,39,view,2023-02-26 16:00:00
52,433,45,purchase,2023-06-13 08:00:00
53,748,44,view,2023-02-08 00:00:00
54,134,14,view,2023-09-12 16:00:00
55,447,38,purchase,2023-01-03 20:00:00
56,613,37,view,2023-08-21 19:00:00
57,675,29,purchase,2023-12-24 03:00:00
58,29,23,view,2024-01-20 21:00:00
59,842,12,view,2023-10-15 20:00:00
60,579,4,view,2023-04-23 07:00:00
61,916,1,purchase,2023-07-18 19:00:00
62,920,18,view,2023-05-03 10:00:00
63,717,29,view,2023-12-02 16:00:00
64,402,3,view,2023-11-30 12:00:00
65,731,20,view,2023-10-17 19:00:00
66,374,29,cart,2023-07-19 23:00:00
67,808,12,view,2023-10-16 16:00:00
68,824,19,view,2023-09-10 20:00:00
69,136,33,view,2023-12-16 10:00:00
70,129,24,view,2023-03-02 16:00:00
71,250,16,view,2023-02-17 04:00:00
72,317,8,view,2023-02-18 22:00:00
73,456,48,view,2023-10-30 19:00:00
74,745,23,cart,2023-05-14 14:00:00
75,496,46,view,2023-12-21 04:00:00
76,304,16,view,2023-08-20 06:00:00
77,720,4,view,2024-02-16 02:00:00
78,433,3,view,2023-05-27 07:00:00
79,119,46,view,2023-12-02 05:00:00
80,492,4,view,2023-10-16 18:00:00
81,399,26,purchase,2023-09-04 06:00:00
82,573,48,view,2023-11-30 14:00:00
83,528,36,view,2023-10-18 12:00:00
84,308,37,view,2023-02-05 03:00:00
85,637,38,view,2023-01-19 05:00:00
86,385,7,view,2023-12-07 18:00:00
87,461,37,purchase,2023-12-21 08:00:00
88,184,25,view,2023-12-01 16:00:00
89,942,22,view,2023-08-27 05:00:00
90,490,20,view,2023-07-14 17:00:00
91,71,11,view,2023-02-18 04:00:00
92,865,37,cart,2023-10-24 06:00:00
93,574,9,view,2023-08-17 21:00:00
94,53,12,view,2023-10-29 00:00:00
95,768,35,view,2023-10-25 02:00:00
96,146,26,cart,2023-09-26 22:00:00
97,972,23,view,2023-05-18 02:00:00
98,768,46,view,2023-10-08 19:00:00
99,997,13,view,2023-11-14 00:00:00
100,509,16,view,2023-08-26 23:00:00
101,227,23,view,2023-11-14 23:00:00
102,382,33,view,2023-02-11 12:00:00
103,372,37,view,2023-06-27 14:00:00
104,626,45,cart,2023-07-10 10:00:00
105,552,21,cart,2023-04-06 16:00:00
106,279,2,view,2023-06-19 05:00:00
107,791,36,view,2023-11-20 01:00:00
108,722,23,view,2023-06-22 23:00:00
109,666,34,view,2023-08-28 09:00:00
110,116,18,view,2023-04-11 01:00:00
111,209,6,view,2023-09-07 12:00:00
112,887,25,view,2023-03-06 09:00:00
113,605,30,view,2023-08-24 16:00:00
114,89,50,view,2023-10-04 21:00:00
115,18,20,purchase,2023-11-06 11:00:00
116,292,9,view,2023-12-31 09:00:00
117,580,15,view,2023-05-26 16:00:00
118,307,12,view,2023-06-30 10:00:00
119,433,5,view,2023-06-05 15:00:00
120,227,13,purchase,2023-10-21 23:00:00
121,546,23,purchase,2023-02-09 13:00:00
122,172,4,view,2024-02-01 11:00:00
123,527,23,view,2023-05-25 06:00:00
124,79,7,view,2023-09-09 19:00:00
125,598,16,view,2024-01-09 23:00:00
126,170,18,purchase,2023-12-04 10:00:00
127,95,22,cart,2023-03-31 08:00:00
128,17,5,view,2023-06-28 12:00:00
129,655,15,view,2023-05-28 08:00:00
130,333,24,view,2023-07-28 08:00:00
131,444,34,view,2023-06-28 12:00:00
132,85,43,cart,2024-01-19 16:00:00
133,176,35,view,2023-10-28 04:00:00
134,646,38,view,2023-06-30 01:00:00
135,752,21,purchase,2023-05-21 10:00:00
136,863,8,cart,2023-06-03 18:00:00
137,308,2,view,2023-02-19 11:00:00
138,785,1,view,2023-04-14 12:00:00
139,842,42,view,2023-11-09 23:00:00
140,17,40,view,2023-06-29 01:00:00
141,292,25,cart,2024-01-28 13:00:00
142,194,20,purchase,2023-10-17 01:00:00
143,987,42,view,2023-08-24 22:00:00
144,214,23,view,2023-06-05 02:00:00
145,329,28,view,2023-04-10 20:00:00
146,262,47,view,2023-06-13 00:00:00
147,378,42,view,2023-11-18 03:00:00
148,656,22,view,2023-03-30 19:00:00
149,773,44,view,2023-11-12 19:00:00
150,801,26,view,2023-12-04 07:00:00
151,18,48,purchase,2023-12-04 21:00:00
152,431,10,view,2023-07-16 17:00:00
153,516,22,view,2023-03-12 07:00:00
154,10,33,view,2023-08-30 21:00:00
155,356,12,cart,2023-03-09 19:00:00
156,463,9,cart,2023-04-23 22:00:00
157,965,49,view,2023-01-23 13:00:00
158,561,7,view,2023-10-08 21:00:00
159,203,34,cart,2023-05-09 08:00:00
160,28,23,view,2023-09-19 15:00:00
161,754,24,view,2023-05-02 21:00:00
162,900,16,cart,2023-10-03 08:00:00
163,268,35,view,2023-03-21 05:00:00
164,564,8,view,2023-08-24 20:00:00
165,289,9,view,2023-05-06 10:00:00
166,790,30,cart,2023-09-30 08:00:00
167,472,13,view,2023-04-05 02:00:00
168,259,21,view,2023-09-24 00:00:00
169,707,1,purchase,2023-09-07 01:00:00
170,639,14,view,2023-05-30 03:00:00
171,472,29,view,2023-05-22 12:00:00
172,691,40,view,2023-07-15 03:00:00
173,843,6,view,2023-02-28 11:00:00
174,812,26,cart,2023-11-21 13:00:00
175,784,47,cart,2024-01-09 10:00:00
176,440,15,purchase,2023-05-07 04:00:00
177,578,13,view,2023-06-30 04:00:00
178,363,26,view,2023-12-01 07:00:00
179,626,14,view,2023-06-20 14:00:00
180,141,49,view,2023-10-13 07:00:00
181,746,44,view,2024-02-02 01:00:00
182,62,21,view,2023-03-29 07:00:00
